SampleID	Barcode	Lane	Plate	Library	Position	PCRBarcode
GAUKRV021000_1	GAUKRV021000	6	1	1	A1	A
GAUKRV027000_1	GAUKRV027000	6	1	1	B1	B
UK01950074_1	UK01950074	6	1	1	C1	C
UK02870104_1	UK02870104	6	1	1	D1	D
UK02XX0332_1	UK02XX0332	6	1	1	E1	E
UK15140114_1	UK15140114	6	1	1	F1	F
UK15450122_1	UK15450122	6	1	1	G1	G
JR1795_1003_POSITIVE_P1	JR1795_1003_POSITIVE	6	1	1	H1	H
UK17680142_1	UK17680142	6	1	2	A5	A
UK17730209_1	UK17730209	6	1	2	B5	B
UK19550087_1	UK19550087	6	1	2	C5	C
UK19880083_1	UK19880083	6	1	2	D5	D
UK21920120_1	UK21920120	6	1	2	E5	E
UK30110056_1	UK30110056	6	1	2	F5	F
UK30590059_1	UK30590059	6	1	2	G5	G
UK30710084_1	UK30710084	6	1	3	A9	A
UK47330006_1	UK47330006	6	1	3	B9	B
UK47500001_1	UK47500001	6	1	3	C9	C
UK47950022_1	UK47950022	6	1	3	D9	D
UK51540002_1	UK51540002	6	1	3	E9	E
UK54930005_1	UK54930005	6	1	3	F9	F
UK59580028_1	UK59580028	6	1	3	G9	G
GAUKRV021000_3	GAUKRV021000	6	2	3	A1	A
GAUKRV027000_3	GAUKRV027000	6	2	4	B1	B
UK01950074_3	UK01950074	6	2	4	C1	C
UK02870104_3	UK02870104	6	2	4	D1	D
UK02XX0332_3	UK02XX0332	6	2	4	E1	E
UK15140114_3	UK15140114	6	2	4	F1	F
UK15450122_3	UK15450122	6	2	4	G1	G
JR1795_1003_POSITIVE_P2	JR1795_1003_POSITIVE	6	2	4	H1	H
UK17680142_3	UK17680142	6	2	5	A5	A
UK17730209_3	UK17730209	6	2	5	B5	B
UK19550087_3	UK19550087	6	2	5	C5	C
UK19880083_3	UK19880083	6	2	5	D5	D
UK21920120_3	UK21920120	6	2	5	E5	E
UK30110056_3	UK30110056	6	2	5	F5	F
UK30590059_3	UK30590059	6	2	5	G5	G
UK30710084_3	UK30710084	6	2	6	A9	A
UK47330006_3	UK47330006	6	2	6	B9	B
UK47500001_3	UK47500001	6	2	6	C9	C
UK47950022_3	UK47950022	6	2	6	D9	D
UK51540002_3	UK51540002	6	2	6	E9	E
UK54930005_3	UK54930005	6	2	6	F9	F
UK59580028_3	UK59580028	6	2	6	G9	G
GAUKRV021000_5	GAUKRV021000	6	3	7	A1	A
GAUKRV027000_5	GAUKRV027000	6	3	7	B1	B
UK01950074_5	UK01950074	6	3	7	C1	C
UK02870104_5	UK02870104	6	3	7	D1	D
UK02XX0332_5	UK02XX0332	6	3	7	E1	E
UK15140114_5	UK15140114	6	3	7	F1	F
UK15450122_5	UK15450122	6	3	7	G1	G
JR1795_1003_POSITIVE_P3	JR1795_1003_POSITIVE	6	3	7	H1	H
UK17680142_5	UK17680142	6	3	8	A5	A
UK17730209_5	UK17730209	6	3	8	B5	B
UK19550087_5	UK19550087	6	3	8	C5	C
UK19880083_5	UK19880083	6	3	8	D5	D
UK21920120_5	UK21920120	6	3	8	E5	E
UK30110056_5	UK30110056	6	3	8	F5	F
UK30590059_5	UK30590059	6	3	8	G5	G
UK30710084_5	UK30710084	6	3	9	A9	A
UK47330006_5	UK47330006	6	3	9	B9	B
UK47500001_5	UK47500001	6	3	9	C9	C
UK47950022_5	UK47950022	6	3	9	D9	D
UK51540002_5	UK51540002	6	3	9	E9	E
UK54930005_5	UK54930005	6	3	9	F9	F
UK59580028_5	UK59580028	6	3	9	G9	G
GAUKRV025000_1	GAUKRV025000	6	4	10	A1	A
UK01310070_1	UK01310070	6	4	10	B1	B
UK02640145_1	UK02640145	6	4	10	C1	C
UK02870201_1	UK02870201	6	4	10	D1	D
UK09320114_1	UK09320114	6	4	10	E1	E
UK15290121_1	UK15290121	6	4	10	F1	F
UK17670148_1	UK17670148	6	4	10	G1	G
JR1795_1003_POSITIVE_P4	JR1795_1003_POSITIVE	6	4	10	H1	H
UK17720215_1	UK17720215	6	4	11	A5	A
UK19080078_1	UK19080078	6	4	11	B5	B
UK19720082_1	UK19720082	6	4	11	C5	C
UK19890077_1	UK19890077	6	4	11	D5	D
UK29010037_1	UK29010037	6	4	11	E5	E
UK30230081_1	UK30230081	6	4	11	F5	F
UK30690096_1	UK30690096	6	4	11	G5	G
UK30720078_1	UK30720078	6	4	12	A9	A
UK47430043_1	UK47430043	6	4	12	B9	B
UK47560062_1	UK47560062	6	4	12	C9	C
UK48130011_1	UK48130011	6	4	12	D9	D
UK54520057_1	UK54520057	6	4	12	E9	E
UK55580003_1	UK55580003	6	4	12	F9	F
UKJR010000_1	UKJR010000	6	4	12	G9	G
GAUKRV025000_3	GAUKRV025000	7	5	13	A1	A
UK01310070_3	UK01310070	7	5	13	B1	B
UK02640145_3	UK02640145	7	5	13	C1	C
UK02870201_3	UK02870201	7	5	13	D1	D
UK09320114_3	UK09320114	7	5	13	E1	E
UK15290121_3	UK15290121	7	5	13	F1	F
UK17670148_3	UK17670148	7	5	13	G1	G
JR1795_1003_POSITIVE_P5	JR1795_1003_POSITIVE	7	5	13	H1	H
UK17720215_3	UK17720215	7	5	14	A5	A
UK19080078_3	UK19080078	7	5	14	B5	B
UK19720082_3	UK19720082	7	5	14	C5	C
UK19890077_3	UK19890077	7	5	14	D5	D
UK29010037_3	UK29010037	7	5	14	E5	E
UK30230081_3	UK30230081	7	5	14	F5	F
UK30690096_3	UK30690096	7	5	14	G5	G
UK30720078_3	UK30720078	7	5	15	A9	A
UK47430043_3	UK47430043	7	5	15	B9	B
UK47560062_3	UK47560062	7	5	15	C9	C
UK48130011_3	UK48130011	7	5	15	D9	D
UK54520057_3	UK54520057	7	5	15	E9	E
UK55580003_3	UK55580003	7	5	15	F9	F
UKJR010000_3	UKJR010000	7	5	15	G9	G
GAUKRV025000_5	GAUKRV025000	7	6	16	A1	A
UK01310070_5	UK01310070	7	6	16	B1	B
UK02640145_5	UK02640145	7	6	16	C1	C
UK02870201_5	UK02870201	7	6	16	D1	D
UK09320114_5	UK09320114	7	6	16	E1	E
UK15290121_5	UK15290121	7	6	16	F1	F
UK17670148_5	UK17670148	7	6	16	G1	G
JR1795_1003_POSITIVE_P6	JR1795_1003_POSITIVE	7	6	16	H1	H
UK17720215_5	UK17720215	7	6	17	A5	A
UK19080078_5	UK19080078	7	6	17	B5	B
UK19720082_5	UK19720082	7	6	17	C5	C
UK19890077_5	UK19890077	7	6	17	D5	D
UK29010037_5	UK29010037	7	6	17	E5	E
UK30230081_5	UK30230081	7	6	17	F5	F
UK30690096_5	UK30690096	7	6	17	G5	G
UK30720078_5	UK30720078	7	6	18	A9	A
UK47430043_5	UK47430043	7	6	18	B9	B
UK47560062_5	UK47560062	7	6	18	C9	C
UK48130011_5	UK48130011	7	6	18	D9	D
UK54520057_5	UK54520057	7	6	18	E9	E
UK55580003_5	UK55580003	7	6	18	F9	F
UKJR010000_5	UKJR010000	7	6	18	G9	G
GAUKAR027000_1	GAUKAR027000	9	7	19	A1	A
UK02090087_1	UK02090087	9	7	19	B1	B
UK02450065_1	UK02450065	9	7	19	C1	C
UK02740085_1	UK02740085	9	7	19	D1	D
UK02XX0293_1	UK02XX0293	9	7	19	E1	E
UK02XX0326_1	UK02XX0326	9	7	19	F1	F
UK05280113_1	UK05280113	9	7	19	G1	G
JR1795_1003_POSITIVE_P7	JR1795_1003_POSITIVE	9	7	19	H1	H
UK08220095_1	UK08220095	9	7	20	A5	A
UK08390090_1	UK08390090	9	7	20	B5	B
UK14040192_1	UK14040192	9	7	20	C5	C
UK15800106_1	UK15800106	9	7	20	D5	D
UK17070217_1	UK17070217	9	7	20	E5	E
UK17250206_1	UK17250206	9	7	20	F5	F
UK17700227_1	UK17700227	9	7	20	G5	G
UK20100145_1	UK20100145	9	7	21	A9	A
UK30100062_1	UK30100062	9	7	21	B9	B
UK30290045_1	UK30290045	9	7	21	C9	C
UK40710001_1	UK40710001	9	7	21	D9	D
UK42950112_1	UK42950112	9	7	21	E9	E
UK45750081_1	UK45750081	9	7	21	F9	F
UK47100047_1	UK47100047	9	7	21	G9	G
UK47280036_1	UK47280036	9	7	21	H11	L
UK47630020_1	UK47630020	9	8	22	A1	A
UK48280018_1	UK48280018	9	8	22	B1	B
UK54290001_1	UK54290001	9	8	22	C1	C
UK55250007_1	UK55250007	9	8	22	D1	D
UK55570009_1	UK55570009	9	8	22	E1	E
UK58140019_1	UK58140019	9	8	22	F1	F
UK58630016_1	UK58630016	9	8	22	G1	G
JR1795_1003_POSITIVE_P8	JR1795_1003_POSITIVE	9	8	22	H1	H
UK59740029_1	UK59740029	9	8	23	A5	A
UK02450065_3	UK02450065_3	9	8	23	B5	B
UK05280113_3	UK05280113_3	9	8	23	C5	C
UK15800106_3	UK15800106_3	9	8	23	D5	D
UK17070217_3	UK17070217_3	9	8	23	E5	E
UK17250206_3	UK17250206_3	9	8	23	F5	F
UK45750081_3	UK45750081_3	9	8	23	G5	G
UK47630020_3	UK47630020_3	9	8	24	A9	A
UK54290001_3	UK54290001_3	9	8	24	B9	B
UK55250007_3	UK55250007_3	9	8	24	C9	C
UK55570009_3	UK55570009_3	9	8	24	D9	D
UK58140019_3	UK58140019_3	9	8	24	E9	E
UK58630016_3	UK58630016_3	9	8	24	F9	F
UK08390090_5	UK08390090_5	9	8	24	G9	G
HV_112_3	HV_112	12	9	29	C5	C
HV_113_3	HV_113	12	9	29	D5	D
HV_114_3	HV_114	12	9	29	E5	E
HV_115_3	HV_115	12	9	29	F5	F
HV_116_3	HV_116	12	9	29	G5	G
HV_114_5	HV_114	12	9	30	A9	A
